topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
401,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
402,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
403,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
404,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
405,nostop,nolug,bb2,0.1005,0.3843,0.3000,0.3209,0.2286,0.5904
406,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
407,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
408,nostop,nolug,bb2,0.0019,0.0000,0.0000,0.0684,0.0183,0.0166
409,nostop,nolug,bb2,0.0011,0.0000,0.0000,0.0918,0.0337,0.0025
410,nostop,nolug,bb2,0.0014,0.0000,0.0000,0.0880,0.0406,0.0014
411,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
412,nostop,nolug,bb2,0.0007,0.0000,0.0000,0.0484,0.0000,0.0038
413,nostop,nolug,bb2,0.0086,0.0000,0.0000,0.1994,0.0732,0.0049
414,nostop,nolug,bb2,0.3030,0.6146,0.6000,0.6931,0.4149,0.6337
415,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
416,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
417,nostop,nolug,bb2,0.0004,0.0000,0.0000,0.0419,0.0409,0.0022
418,nostop,nolug,bb2,0.0041,0.0000,0.0000,0.0934,0.0095,0.0128
419,nostop,nolug,bb2,0.0117,0.0216,0.0000,0.1617,0.0591,0.0543
420,nostop,nolug,bb2,0.3737,0.8622,0.9000,0.6665,0.4316,0.6930
421,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
422,nostop,nolug,bb2,0.1227,0.0807,0.1000,0.4649,0.3087,0.0859
423,nostop,nolug,bb2,0.5555,0.8436,0.8000,0.7790,0.5710,0.6923
424,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
425,nostop,nolug,bb2,0.0028,0.0000,0.0000,0.0863,0.0097,0.0088
426,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
427,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0091,0.0000,0.0007
428,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
429,nostop,nolug,bb2,0.2914,0.4232,0.3000,0.5285,0.2878,0.6481
430,nostop,nolug,bb2,0.5700,0.4642,0.3000,0.9165,0.6353,0.6545
431,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0056,0.0000,0.0028
432,nostop,nolug,bb2,0.0010,0.0000,0.0000,0.0671,0.0192,0.0069
433,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
434,nostop,nolug,bb2,0.0001,0.0009,0.0000,0.0042,0.0053,0.0200
435,nostop,nolug,bb2,0.0056,0.0002,0.0000,0.1281,0.0963,0.0236
436,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
437,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
438,nostop,nolug,bb2,0.0626,0.0896,0.1000,0.3820,0.2308,0.1158
439,nostop,nolug,bb2,0.0155,0.1280,0.1000,0.1538,0.0787,0.1769
440,nostop,nolug,bb2,0.0030,0.0000,0.0000,0.1223,0.0572,0.0076
441,nostop,nolug,bb2,0.4849,0.7676,0.7000,0.7332,0.4975,0.6911
442,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
443,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
444,nostop,nolug,bb2,0.0059,0.0000,0.0000,0.2337,0.0405,0.0042
445,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
446,nostop,nolug,bb2,0.0001,0.0000,0.0000,0.0187,0.0000,0.0019
447,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
448,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
449,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
450,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
401,nostop,nolug,bm25,0.0002,0.0000,0.0000,0.0201,0.0034,0.0048
402,nostop,nolug,bm25,0.0008,0.0088,0.0000,0.0155,0.0200,0.0333
403,nostop,nolug,bm25,0.5411,0.8195,0.8000,0.7861,0.5047,0.6913
404,nostop,nolug,bm25,0.0547,0.1510,0.3000,0.3689,0.2012,0.1472
405,nostop,nolug,bm25,0.1092,0.2397,0.4000,0.3628,0.2291,0.1662
406,nostop,nolug,bm25,0.0565,0.1343,0.3000,0.2926,0.1827,0.1273
407,nostop,nolug,bm25,0.0391,0.2485,0.2000,0.2087,0.1436,0.5394
408,nostop,nolug,bm25,0.1160,0.4417,0.5000,0.3660,0.2945,0.5838
409,nostop,nolug,bm25,0.2059,0.4896,0.4000,0.5429,0.3661,0.6257
410,nostop,nolug,bm25,0.3635,0.9811,1.0000,0.5533,0.4109,0.6931
411,nostop,nolug,bm25,0.1050,0.3982,0.3000,0.3011,0.2597,0.5938
412,nostop,nolug,bm25,0.0361,0.2007,0.1000,0.2155,0.1110,0.5155
413,nostop,nolug,bm25,0.0674,0.0937,0.1000,0.4159,0.2377,0.0964
414,nostop,nolug,bm25,0.2278,0.3604,0.2000,0.6664,0.3842,0.5826
