stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
nostop,nolug,bb2,0.03146,0.068078,0.07,0.10422,0.057244,0.06562,0.31498888,1.6184198058,1.665,2.060657,0.7343367832,1.31201032
nostop,nolug,bm25,0.157962,0.363276,0.34,0.46074,0.273112,0.361126,0.8461720978,4.2895024312,4.08,10.53070806,1.2695530528,3.6470159562
nostop,nolug,dfiz,0.090456,0.245882,0.206,0.3685,0.186206,0.30972,0.3411092832,2.4935662738,1.7882,10.21617728,0.5270315682,4.24358894
nostop,nolug,dfree,0.170058,0.40165,0.374,0.512412,0.286614,0.396996,0.6405180818,3.637241245,3.4162,17.5468651624,0.9564118002,3.5820743592
nostop,nolug,dirichletlm,0.130848,0.330506,0.296,0.454636,0.236868,0.360826,0.5275384648,3.2485749882,2.7392,16.8236451352,0.7319417688,3.9012701362
nostop,nolug,dlh,0.1313,0.317782,0.304,0.430594,0.245044,0.308958,0.65497512,3.1173761938,2.6392,17.935608162,0.7213991432,3.4748779818
nostop,nolug,dph,0.189062,0.422778,0.376,0.51865,0.285318,0.426098,0.8567667578,3.8805894058,3.6112,24.305899775,0.7193011138,4.2169399498
nostop,nolug,hiemstralm,0.111168,0.271644,0.268,0.424146,0.223258,0.275962,0.4450090888,2.7672417432,2.3888,22.0605060656,0.6400881018,3.3216530378
nostop,nolug,ifb2,0.016508,0.05389,0.056,0.076112,0.043658,0.066116,0.0767512568,0.654949705,0.6832,67.6100117628,0.3896073818,1.3959509872
nostop,nolug,inb2,0.1707,0.396748,0.366,0.489702,0.270812,0.407786,0.8052235,3.8098669848,3.5922,36.4826926996,0.8823219328,4.4953128002
nostop,nolug,inl2,0.183314,0.412164,0.378,0.507004,0.289384,0.420654,0.8863159802,4.4594391752,4.2058,40.3808494624,1.1848708672,4.4201217842
nostop,nolug,inexpb2,0.190682,0.408418,0.382,0.512762,0.29576,0.403932,1.1365685738,4.2813163738,4.1138,43.1506258928,1.30480194,4.1387983288
nostop,nolug,jskls,0.174088,0.407536,0.374,0.515744,0.297114,0.401534,0.6690518528,3.6688990752,3.2562,45.2840355516,0.9603663202,3.4842750522
nostop,nolug,lemurtfidf,0.188918,0.391424,0.364,0.500776,0.289848,0.406158,1.2020671138,4.0509443512,4.0152,45.9605583284,1.2206959048,4.3711748418
nostop,nolug,lgd,0.15799,0.373824,0.332,0.49788,0.261976,0.40729,0.577272945,3.5754706312,2.9888,47.421924586,0.7202167712,4.292014625
nostop,nolug,pl2,0.045126,0.126534,0.112,0.134778,0.080634,0.125694,0.3845431762,3.4225096122,2.6728,108.84971933,0.8700773722,2.9639185082
nostop,nolug,tfidf,0.187548,0.416388,0.388,0.503468,0.29665,0.426286,1.0218239648,4.2859216728,3.9728,59.0470391072,1.144383145,4.3003690402
nostop,krovetz,bb2,0.035026,0.059436,0.052,0.11228,0.06588,0.054578,0.3531374962,1.3043216552,0.9448,131.008158128,0.8820905,1.0896326058
nostop,krovetz,bm25,0.173286,0.373516,0.328,0.49973,0.279854,0.368896,0.9285111202,3.6602921672,3.2208,70.358471363,0.9115741242,3.4046334992
nostop,krovetz,dfiz,0.088326,0.241942,0.212,0.387764,0.192134,0.307026,0.2738672162,2.3359038218,1.9528,63.1920137988,0.6127518722,4.4786448162
