groups,df,Qval2,Qval1
2,98,1.984657,1.660616
3,147,2.233682,1.930735
4,196,2.367403,2.074626
5,245,2.457759,2.171338
6,294,2.525538,2.2436
7,343,2.579538,2.300998
8,392,2.624284,2.348447
9,441,2.662403,2.38879
10,490,2.695551,2.423816
11,539,2.724838,2.45472
12,588,2.751043,2.482341
13,637,2.774733,2.507286
14,686,2.796333,2.530011
15,735,2.816171,2.550865
16,784,2.834504,2.570124
17,833,2.851537,2.588006
18,882,2.867435,2.604688
20,980,2.896355,2.635009
21,1029,2.909584,2.648869
22,1078,2.922105,2.661983
24,1176,2.945291,2.686251
25,1225,2.956066,2.697524
26,1274,2.96636,2.708288
27,1323,2.97621,2.718586
28,1372,2.985654,2.728456
30,1470,3.003443,2.74704
32,1568,3.019942,2.764267
33,1617,3.027763,2.77243
34,1666,3.035324,2.78032
35,1715,3.042641,2.787954
36,1764,3.04973,2.795348
39,1911,3.069756,2.816229
40,1960,3.076055,2.822794
42,2058,3.088146,2.835394
44,2156,3.099615,2.84734
45,2205,3.105133,2.853087
48,2352,3.120894,2.869494
50,2450,3.130793,2.879793
51,2499,3.135574,2.884765
52,2548,3.140248,2.889626
54,2646,3.14929,2.899025
55,2695,3.153667,2.903572
56,2744,3.157951,2.908023
60,2940,3.174233,2.924925
64,3136,3.189292,2.940541
65,3185,3.192886,2.944266
66,3234,3.196417,2.947925
68,3332,3.203301,2.955056
70,3430,3.209961,2.961952
72,3528,3.216415,2.968633
75,3675,3.225744,2.978287
78,3822,3.234694,2.987548
80,3920,3.240473,2.993527
84,4116,3.251627,3.00507
85,4165,3.254339,3.007878
90,4410,3.267494,3.021499
96,4704,3.282492,3.037048
102,4998,3.296756,3.051855
